交叉率 突然変異率 平均最良評価値 最良評価値分散 平均実行時間 実行時間分散
0.30 0.200 6049467.163952 145776897347.684753 0.660720 0.002180
0.30 0.500 6078823.800417 137909587547.876862 0.827070 0.012584
0.30 1.000 7572865.806048 126095060701.952209 1.081190 0.050903

0.40 0.000 11846791.387588 435917098677.661499 0.541010 0.000332
0.40 0.001 8920589.003447 477660501535.363770 0.540730 0.000498
0.40 0.002 7896799.968396 549781191679.706543 0.537690 0.000309
0.40 0.005 7055013.676288 262561606773.410736 0.541220 0.000270
0.40 0.010 6603204.007386 234778992076.369141 0.542660 0.000284
0.40 0.020 6329617.503434 146425933259.542511 0.549850 0.000268
0.40 0.050 6323163.222020 186184444220.986328 0.568790 0.000602
0.40 0.100 6156927.231326 191610880999.660950 0.594070 0.000839
0.40 0.200 6097595.143864 164200918693.659790 0.660360 0.002055
0.40 0.500 6026021.753371 126195923719.939789 0.810180 0.009097
0.40 1.000 7576754.191414 145892346382.011200 1.076090 0.035165

0.50 0.000 11923432.315707 392421985925.588623 0.538170 0.000225
0.50 0.001 8852153.262437 429678292206.626038 0.535030 0.000172
0.50 0.002 7891428.190265 345724579638.159790 0.543430 0.000415
0.50 0.005 7070567.929205 240249771446.996338 0.548740 0.000652
0.50 0.010 6539606.954053 234100068763.763794 0.562310 0.000712
0.50 0.020 6358267.404242 190566730243.152771 0.552270 0.000339
0.50 0.050 6222999.000253 233951007024.764038 0.572770 0.000550
0.50 0.100 6159305.929722 199322865710.391602 0.598290 0.000569
0.50 0.200 6098865.321212 149090667950.335358 0.657810 0.002130
0.50 0.500 5997481.231616 117822400140.604004 0.823400 0.008774
0.50 1.000 7611103.107955 141098857148.019714 1.073680 0.033510

0.60 0.000 12022930.037008 310210697717.075134 0.544090 0.000401
0.60 0.001 8597327.132525 505231865709.062683 0.542270 0.000253
0.60 0.002 8025667.256730 356227709011.560486 0.548290 0.000481
0.60 0.005 6963569.255215 259805701129.590149 0.548060 0.000224
0.60 0.010 6590128.157045 267458098594.743073 0.546910 0.000314
0.60 0.020 6262197.900530 177080710158.215210 0.556810 0.000398
0.60 0.050 6214958.476263 181039349064.685913 0.570270 0.000367
0.60 0.100 6182085.100593 160525449723.345276 0.594320 0.000535
0.60 0.200 6127455.087563 164277841411.244568 0.665900 0.001923
0.60 0.500 5983834.724646 129180086122.704865 0.840210 0.013131
0.60 1.000 7556533.289091 144408154455.045013 1.090040 0.024662

0.70 0.000 11814598.460391 314988607288.601746 0.545350 0.000510
0.70 0.001 8825473.253889 466594571843.259155 0.548860 0.000349
0.70 0.002 7810942.687980 323568516859.030762 0.544240 0.000332
0.70 0.005 6939985.730795 300997895721.305298 0.543660 0.000236
0.70 0.010 6606980.520745 279940746822.338074 0.553560 0.000360
0.70 0.020 6424998.216048 225099190970.321106 0.556940 0.000361
0.70 0.050 6303627.876540 176196727389.318665 0.574420 0.000392
0.70 0.100 6162795.305379 202086354962.941681 0.607790 0.000648
0.70 0.200 6114043.700391 220958364700.286682 0.668650 0.002354
0.70 0.500 5938235.399053 138139243906.736877 0.861000 0.012117
0.70 1.000 7589913.883561 128833922568.902573 1.085180 0.032391

0.80 0.000 12014955.525758 410321172042.337158 0.549390 0.000374
0.80 0.001 8754654.336149 594291215957.497559 0.543540 0.000300
0.80 0.002 7849083.606970 405057622423.038696 0.552890 0.000400
0.80 0.005 6970607.322146 283214852076.320068 0.545240 0.000245
0.80 0.010 6575844.807942 197511554191.090271 0.552910 0.000389
0.80 0.020 6388092.677765 203997461585.743713 0.558390 0.000402
0.80 0.050 6321450.502614 212142166040.830078 0.574660 0.000396
0.80 0.100 6123668.700707 187443499157.981598 0.609470 0.000760
0.80 0.200 6113575.637955 141432754976.372192 0.673870 0.002109
0.80 0.500 6048887.997197 137892319942.362671 0.855030 0.011990
0.80 1.000 7563305.549697 164699288140.440552 1.095780 0.030784

0.90 0.000 11963548.136907 381311154116.749817 0.548440 0.000261
0.90 0.001 8772414.998927 545831021809.568665 0.551460 0.000389
0.90 0.002 7943622.954217 408927539414.759766 0.549950 0.000562
0.90 0.005 7092266.938674 213732416089.246094 0.548830 0.000331
0.90 0.010 6637055.606023 221554343766.886444 0.551770 0.000374
0.90 0.020 6392203.058851 206937205967.460480 0.553320 0.000145
0.90 0.050 6364918.223434 164800793481.830353 0.575070 0.000416
0.90 0.100 6181581.191427 128836801964.673553 0.609240 0.001310
0.90 0.200 6092387.992336 216575000393.222290 0.682370 0.002401
0.90 0.500 6021406.831692 155311464343.647339 0.846630 0.010689
0.90 1.000 7597019.534949 131929714614.578751 1.106930 0.040009

1.00 0.000 11972876.792753 302677932426.031982 0.540700 0.000175
1.00 0.001 8734145.390164 570214140635.345703 0.543780 0.000252
1.00 0.002 7934016.874874 449513656865.369324 0.541560 0.000253
1.00 0.005 7084631.876856 296307656262.393860 0.542820 0.000185
1.00 0.010 6515953.134987 193989680082.688782 0.555460 0.000360
1.00 0.020 6463675.765467 194716811589.721985 0.553770 0.000276
1.00 0.050 6286705.050846 243099839076.402496 0.566390 0.000272
1.00 0.100 6187930.082879 159561225195.896118 0.600820 0.000731
1.00 0.200 6090619.321338 136892611613.262604 0.666310 0.002355
1.00 0.500 5995843.495354 153195654972.560059 0.831480 0.009131
1.00 1.000 7573221.734104 126835608479.451538 2.733830 1.439650
