交叉率 突然変異率 平均最良評価値 最良評価値分散 平均実行時間 実行時間分散
0.70 1.000 7892568.792500 341344690605.644592 2.526333 0.009120
0.80 0.000 16005738.087143 1211753204701.984619 1.697967 0.001839
0.80 0.001 8523126.821786 1795397487118.453613 1.689433 0.002402
0.80 0.002 7843823.991548 997316797561.007813 1.678467 0.001067
0.80 0.005 7076242.500238 268551295676.634552 1.677900 0.001173
0.80 0.010 7008461.504405 473028530420.336975 1.674133 0.004846
0.80 0.020 6834796.418095 414593529622.823303 1.706833 0.001087
0.80 0.050 6910705.237381 373863662663.906494 1.737700 0.001398
0.80 0.100 6650300.720476 412902522304.859680 1.792633 0.002332
0.80 0.200 6779172.158095 314999406042.880188 1.890033 0.002569
0.80 0.500 6732894.813929 225403323233.255920 2.133100 0.006262
0.80 1.000 7954161.701190 337195452469.314636 2.487000 0.031572
0.90 0.000 16218519.703810 1514629091744.733887 1.661267 0.001662
0.90 0.001 8233706.344405 953453950717.833374 1.671500 0.001877
0.90 0.002 7369771.107024 611900379346.628540 1.682167 0.001164
0.90 0.005 6848900.952262 515694784201.432922 1.684400 0.001470
0.90 0.010 6798866.918452 306438228312.121765 1.687067 0.001470
0.90 0.020 6832763.511310 293572946455.083618 1.701767 0.001003
0.90 0.050 6649007.087381 391999102599.073669 1.744367 0.003492
0.90 0.100 6641833.458452 218687740473.163696 1.790633 0.001624
0.90 0.200 6879978.132381 354997936024.656982 1.871333 0.002878
0.90 0.500 6675883.243571 318998329946.066223 2.140467 0.005670
0.90 1.000 7933670.113333 196864329128.870514 2.500333 0.002956
1.00 0.000 15976641.303571 1502264277809.687256 1.680233 0.000940
1.00 0.001 8676504.832500 1587553282549.715576 1.678400 0.001067
1.00 0.002 7437759.964524 672661761539.030396 1.685367 0.000828
1.00 0.005 7141071.756905 482645720658.817932 1.690500 0.000969
1.00 0.010 7026839.672262 285846348697.515686 1.701433 0.000924
1.00 0.020 6919839.151667 379520823902.554504 1.712733 0.001306
1.00 0.050 6953907.008214 360753788487.930786 1.761200 0.005310
1.00 0.100 6852092.820952 338898696817.719421 1.782633 0.001060
1.00 0.200 6670733.721786 330279558091.346436 1.895500 0.003219
1.00 0.500 6612499.382024 450493023045.570068 2.116267 0.003034
1.00 1.000 8065747.912143 159483526764.240326 2.537100 0.007989
